fpo_id,name,district,member_count,contact
106,Dhule Shetkari FPO Ltd,Dhule,346,9897475858
107,Solapur Utpadak FPO Ltd,Solapur,289,9861162436
108,Latur Utpadak FPO Ltd,Latur,391,9883266727
109,Aurangabad Utpadak FPO Ltd,Aurangabad,384,9891024631
110,Ahmednagar Utpadak FPO Ltd,Ahmednagar,79,9889856240
111,Akola Krishi FPO Ltd,Akola,136,9883920772
112,Sangli Krishi FPO Ltd,Sangli,195,9847675586
113,Nashik Bagayat FPO Ltd,Nashik,249,9844027975
114,Solapur Shetkari FPO Ltd,Solapur,292,9853471065
115,Kolhapur Kisan FPO Ltd,Kolhapur,311,9829877607
116,Latur Krishi FPO Ltd,Latur,59,9815682526
117,Jalna Utpadak FPO Ltd,Jalna,76,9831594687
118,Amravati Krishi FPO Ltd,Amravati,392,9887205812
119,Jalna Shetkari FPO Ltd,Jalna,362,9851118951
120,Akola Kisan FPO Ltd,Akola,180,9824590218
121,Latur Bagayat FPO Ltd,Latur,77,9861492870
122,Nagpur Shetkari FPO Ltd,Nagpur,373,9831686214
123,Jalgaon Kisan FPO Ltd,Jalgaon,298,9883556823
124,Nagpur Shetkari FPO Ltd,Nagpur,336,9871993230
125,Nanded Bagayat FPO Ltd,Nanded,212,9812615530
126,Nashik Kisan FPO Ltd,Nashik,361,9899073544
127,Nanded Kisan FPO Ltd,Nanded,57,9854469514
128,Akola Kisan FPO Ltd,Akola,281,9844452293
129,Latur Utpadak FPO Ltd,Latur,368,9871111920
130,Nashik Krishi FPO Ltd,Nashik,340,9882780490
131,Latur Utpadak FPO Ltd,Latur,221,9899368092
132,Akola Bagayat FPO Ltd,Akola,152,9815517777
133,Akola Utpadak FPO Ltd,Akola,160,9812065440
134,Pune Krishi FPO Ltd,Pune,146,9836925369
135,Jalna Krishi FPO Ltd,Jalna,211,9818380631
136,Pune Shetkari FPO Ltd,Pune,226,9814842971
137,Akola Kisan FPO Ltd,Akola,67,9866034729
138,Jalgaon Shetkari FPO Ltd,Jalgaon,219,9829194183
139,Jalgaon Utpadak FPO Ltd,Jalgaon,251,9837609123
140,Solapur Krishi FPO Ltd,Solapur,105,9842172504
141,Satara Utpadak FPO Ltd,Satara,179,9888797854
142,Sangli Bagayat FPO Ltd,Sangli,131,9836882333
143,Kolhapur Utpadak FPO Ltd,Kolhapur,158,9837826026
144,Jalgaon Krishi FPO Ltd,Jalgaon,147,9810836130
145,Solapur Shetkari FPO Ltd,Solapur,55,9828167673
146,Sangli Utpadak FPO Ltd,Sangli,233,9828592000
147,Nashik Utpadak FPO Ltd,Nashik,114,9885121764
148,Jalgaon Kisan FPO Ltd,Jalgaon,132,9867355630
149,Amravati Utpadak FPO Ltd,Amravati,102,9875592646
150,Jalna Bagayat FPO Ltd,Jalna,375,9880386244
