from_mandi_id,to_mandi_id,distance_km,cost_per_qtl_per_km,fixed_loading_cost
5,17,488.4,0.18,23
5,18,154.0,0.2,40
5,19,302.0,0.22,36
5,20,323.2,0.24,32
5,21,267.0,0.15,28
5,22,350.7,0.17,24
5,23,75.4,0.19,20
5,24,138.2,0.21,37
5,25,237.3,0.23,33
6,1,37.3,0.15,34
6,2,52.5,0.17,30
6,3,61.9,0.19,26
6,4,37.5,0.21,22
6,5,38.9,0.23,39
6,6,0.0,0.25,35
6,7,16.1,0.16,31
6,8,86.8,0.18,27
6,9,16.1,0.2,23
6,10,138.7,0.22,40
6,11,219.3,0.24,36
6,12,360.0,0.15,32
6,13,162.1,0.17,28
6,14,306.4,0.19,24
6,15,401.5,0.21,20
6,16,415.4,0.23,37
6,17,519.3,0.25,33
6,18,192.6,0.16,29
6,19,339.4,0.18,25
6,20,362.0,0.2,21
6,21,299.0,0.22,38
6,22,381.6,0.24,34
6,23,83.0,0.15,30
6,24,159.9,0.17,26
6,25,258.4,0.19,22
7,1,53.1,0.22,23
7,2,58.8,0.24,40
7,3,67.2,0.15,36
7,4,53.1,0.17,32
7,5,54.0,0.19,28
7,6,16.1,0.21,24
7,7,0.0,0.23,20
7,8,102.7,0.25,37
7,9,32.1,0.16,33
7,10,153.6,0.18,29
7,11,230.3,0.2,25
7,12,375.9,0.22,21
7,13,177.5,0.24,38
7,14,318.4,0.15,34
7,15,414.9,0.17,30
7,16,428.0,0.19,26
7,17,527.7,0.21,22
7,18,206.7,0.23,39
7,19,355.3,0.25,35
7,20,376.4,0.16,31
7,21,308.3,0.18,27
7,22,390.2,0.2,23
7,23,85.1,0.22,40
7,24,165.3,0.24,36
7,25,272.4,0.15,32
8,1,53.0,0.18,33
8,2,95.5,0.2,29
8,3,102.8,0.22,25
8,4,49.9,0.24,21
8,5,50.3,0.15,38
8,6,86.8,0.17,34
8,7,102.7,0.19,30
8,8,0.0,0.21,26
8,9,70.9,0.23,22
8,10,59.4,0.25,39
8,11,185.5,0.16,35
8,12,278.3,0.18,31
8,13,91.8,0.2,27
8,14,260.6,0.22,23
8,15,341.7,0.24,40
8,16,361.8,0.15,36
8,17,469.8,0.17,32
8,18,116.5,0.19,28
8,19,252.6,0.21,24
8,20,281.1,0.23,20
8,21,249.0,0.25,37
8,22,333.4,0.16,33
8,23,109.4,0.18,29
8,24,146.4,0.2,25
8,25,197.7,0.22,21
9,1,21.8,0.25,22
9,2,50.7,0.16,39
9,3,60.6,0.18,35
9,4,22.5,0.2,31
9,5,24.9,0.22,27
9,6,16.1,0.24,23
9,7,32.1,0.15,40
9,8,70.9,0.17,36
9,9,0.0,0.19,32
9,10,124.1,0.21,28
9,11,209.0,0.23,24
9,12,344.2,0.25,20
9,13,146.9,0.16,37
9,14,294.9,0.18,33
9,15,388.3,0.2,29
9,16,403.1,0.22,25
9,17,511.2,0.24,21
9,18,178.8,0.15,38
9,19,323.5,0.17,34
9,20,347.7,0.19,30
9,21,290.2,0.21,26
9,22,373.4,0.23,22
9,23,84.0,0.25,39
9,24,156.0,0.16,35
9,25,244.7,0.18,31
10,1,110.0,0.21,32
10,2,154.8,0.23,28
10,3,162.2,0.25,24
10,4,101.6,0.16,20
10,5,99.8,0.18,37
10,6,138.7,0.2,33
10,7,153.6,0.22,29
10,8,59.4,0.24,25
10,9,124.1,0.15,21
10,10,0.0,0.17,38
10,11,218.5,0.19,34
10,12,253.8,0.21,30
10,13,106.7,0.23,26
10,14,280.2,0.25,22
10,15,345.7,0.16,39
10,16,371.2,0.18,35
10,17,415.4,0.2,31
10,18,57.1,0.22,27
10,19,208.4,0.24,23
10,20,223.7,0.15,40
10,21,196.9,0.17,36
10,22,280.6,0.19,32
10,23,128.3,0.21,28
10,24,127.9,0.23,24
10,25,207.8,0.25,20
11,1,190.8,0.17,21
11,2,173.9,0.19,38
11,3,168.3,0.21,34
11,4,205.7,0.23,30
11,5,210.1,0.25,26
11,6,219.3,0.16,22
11,7,230.3,0.18,39
11,8,185.5,0.2,35
11,9,209.0,0.22,31
11,10,218.5,0.24,27
11,11,0.0,0.15,23
11,12,234.3,0.17,40
11,13,114.8,0.19,36
11,14,90.3,0.21,32
11,15,196.7,0.23,28
11,16,202.0,0.25,24
11,17,621.0,0.16,20
11,18,259.7,0.18,37
11,19,284.2,0.2,33
11,20,370.7,0.22,29
11,21,410.9,0.24,25
11,22,491.9,0.15,21
11,23,285.2,0.17,38
11,24,331.8,0.19,34
11,25,83.7,0.21,30
12,1,322.8,0.24,31
12,2,341.6,0.15,27
12,3,342.3,0.17,23
12,4,326.5,0.19,40
12,5,327.8,0.21,36
12,6,360.0,0.23,32
12,7,375.9,0.25,28
12,8,278.3,0.16,24
12,9,344.2,0.18,20
12,10,253.8,0.2,37
12,11,234.3,0.22,33
12,12,0.0,0.24,29
12,13,201.0,0.15,25
12,14,199.9,0.17,21
12,15,166.9,0.19,38
12,16,206.1,0.21,34
12,17,511.4,0.23,30
12,18,242.5,0.25,26
12,19,107.7,0.16,22
12,20,222.0,0.18,39
12,21,357.3,0.2,35
12,22,414.1,0.22,31
12,23,379.8,0.24,27
12,24,374.0,0.15,23
12,25,150.8,0.17,40
13,1,125.1,0.2,20
13,2,140.7,0.22,37
13,3,142.0,0.24,33
13,4,132.5,0.15,29
13,5,135.0,0.17,25
13,6,162.1,0.19,21
13,7,177.5,0.21,38
13,8,91.8,0.23,34
13,9,146.9,0.25,30
13,10,106.7,0.16,26
13,11,114.8,0.18,22
13,12,201.0,0.2,39
13,13,0.0,0.22,35
13,14,174.4,0.24,31
13,15,250.0,0.15,27
13,16,271.0,0.17,23
13,17,507.3,0.19,40
13,18,144.9,0.21,36
13,19,205.7,0.23,32
13,20,270.4,0.25,28
13,21,296.2,0.16,24
13,22,377.2,0.18,20
13,23,201.2,0.2,37
13,24,229.1,0.22,33
13,25,106.4,0.24,29
14,1,275.4,0.16,30
14,2,263.3,0.18,26
14,3,258.1,0.2,22
14,4,288.8,0.22,39
14,5,292.8,0.24,35
14,6,306.4,0.15,31
14,7,318.4,0.17,27
14,8,260.6,0.19,23
14,9,294.9,0.21,40
14,10,280.2,0.23,36
14,11,90.3,0.25,32
14,12,199.9,0.16,28
14,13,174.4,0.18,24
14,14,0.0,0.2,20
14,15,110.3,0.22,37
14,16,111.7,0.24,33
14,17,656.0,0.15,29
14,18,309.5,0.17,25
14,19,280.1,0.19,21
14,20,383.8,0.21,38
14,21,459.0,0.23,34
14,22,535.0,0.25,30
14,23,366.4,0.16,26
14,24,403.2,0.18,22
14,25,78.4,0.2,39
15,1,367.3,0.23,40
15,2,363.5,0.25,36
15,3,359.6,0.16,32
15,4,378.3,0.18,28
15,5,381.6,0.2,24
15,6,401.5,0.22,20
15,7,414.9,0.24,37
15,8,341.7,0.15,33
15,9,388.3,0.17,29
15,10,345.7,0.19,25
15,11,196.7,0.21,21
15,12,166.9,0.23,38
15,13,250.0,0.25,34
15,14,110.3,0.16,30
15,15,0.0,0.18,26
15,16,39.6,0.2,22
15,17,672.5,0.22,39
15,18,359.5,0.24,35
15,19,271.4,0.15,31
15,20,385.4,0.17,27
15,21,498.3,0.19,23
15,22,565.2,0.21,40
15,23,451.0,0.23,36
15,24,473.4,0.25,32
15,25,144.4,0.16,28
16,1,382.8,0.19,29
16,2,374.1,0.21,25
16,3,369.2,0.23,21
16,4,395.1,0.25,38
16,5,398.7,0.16,34
16,6,415.4,0.18,30
16,7,428.0,0.2,26
16,8,361.8,0.22,22
16,9,403.1,0.24,39
16,10,371.2,0.15,35
16,11,202.0,0.17,31
16,12,206.1,0.19,27
16,13,271.0,0.21,23
16,14,111.7,0.23,40
16,15,39.6,0.25,36
16,16,0.0,0.16,32
16,17,709.5,0.18,28
16,18,389.2,0.2,24
16,19,309.8,0.22,20
16,20,423.3,0.24,37
16,21,531.1,0.15,33
16,22,599.9,0.17,29
16,23,470.3,0.19,25
16,24,498.2,0.21,21
16,25,164.7,0.23,38
17,1,508.1,0.15,39
17,2,556.9,0.17,35
17,3,566.1,0.19,31
17,4,492.7,0.21,27
17,5,488.4,0.23,23
17,6,519.3,0.25,40
17,7,527.7,0.16,36
17,8,469.8,0.18,32
17,9,511.2,0.2,28
17,10,415.4,0.22,24
17,11,621.0,0.24,20
17,12,511.4,0.15,37
17,13,507.3,0.17,33
17,14,656.0,0.19,29
17,15,672.5,0.21,25
17,16,709.5,0.23,21
17,17,0.0,0.25,38
17,18,364.2,0.16,34
17,19,403.7,0.18,30
17,20,289.6,0.2,26
17,21,221.6,0.22,22
17,22,137.8,0.24,39
17,23,448.5,0.15,35
17,24,366.1,0.17,31
17,25,577.8,0.19,27
18,1,166.3,0.22,28
18,2,211.8,0.24,24
18,3,219.3,0.15,20
18,4,156.4,0.17,37
18,5,154.0,0.19,33
18,6,192.6,0.21,29
18,7,206.7,0.23,25
18,8,116.5,0.25,21
18,9,178.8,0.16,38
18,10,57.1,0.18,34
18,11,259.7,0.2,30
18,12,242.5,0.22,26
18,13,144.9,0.24,22
18,14,309.5,0.15,39
18,15,359.5,0.17,35
18,16,389.2,0.19,31
18,17,364.2,0.21,27
18,18,0.0,0.23,23
18,19,175.1,0.25,40
18,20,170.0,0.16,36
18,21,151.5,0.18,32
18,22,232.4,0.2,28
18,23,165.1,0.22,24
18,24,133.9,0.24,20
18,25,232.5,0.15,37
19,1,304.5,0.18,38
19,2,336.9,0.2,34
19,3,340.7,0.22,30
19,4,302.3,0.24,26
19,5,302.0,0.15,22
19,6,339.4,0.17,39
19,7,355.3,0.19,35
19,8,252.6,0.21,31
19,9,323.5,0.23,27
19,10,208.4,0.25,23
19,11,284.2,0.16,40
19,12,107.7,0.18,36
19,13,205.7,0.2,32
19,14,280.1,0.22,28
19,15,271.4,0.24,24
19,16,309.8,0.15,20
19,17,403.7,0.17,37
19,18,175.1,0.19,33
19,19,0.0,0.21,29
19,20,114.5,0.23,25
19,21,259.7,0.25,21
19,22,309.4,0.16,38
19,23,335.1,0.18,34
19,24,307.9,0.2,30
19,25,211.2,0.22,26
20,1,333.3,0.25,27
20,2,375.8,0.16,23
20,3,382.1,0.18,40
20,4,325.2,0.2,36
20,5,323.2,0.22,32
20,6,362.0,0.24,28
20,7,376.4,0.15,24
20,8,281.1,0.17,20
20,9,347.7,0.19,37
20,10,223.7,0.21,33
20,11,370.7,0.23,29
20,12,222.0,0.25,25
20,13,270.4,0.16,21
20,14,383.8,0.18,38
20,15,385.4,0.2,34
20,16,423.3,0.22,30
20,17,289.6,0.24,26
20,18,170.0,0.15,22
20,19,114.5,0.17,39
20,20,0.0,0.19,35
20,21,176.7,0.21,31
20,22,205.7,0.23,27
20,23,330.6,0.25,23
20,24,277.4,0.16,40
20,25,309.2,0.18,36
21,1,286.5,0.21,37
21,2,335.3,0.23,33
21,3,344.5,0.25,29
21,4,271.2,0.16,25
21,5,267.0,0.18,21
21,6,299.0,0.2,38
21,7,308.3,0.22,34
21,8,249.0,0.24,30
21,9,290.2,0.15,26
21,10,196.9,0.17,22
21,11,410.9,0.19,39
21,12,357.3,0.21,35
21,13,296.2,0.23,31
21,14,459.0,0.25,27
21,15,498.3,0.16,23
21,16,531.1,0.18,40
21,17,221.6,0.2,36
21,18,151.5,0.22,32
21,19,259.7,0.24,28
21,20,176.7,0.15,24
21,21,0.0,0.17,20
21,22,84.4,0.19,37
21,23,233.2,0.21,33
21,24,154.1,0.23,29
21,25,381.1,0.25,25
22,1,370.5,0.17,26
22,2,419.3,0.19,22
22,3,428.6,0.21,39
22,4,354.9,0.23,35
22,5,350.7,0.25,31
22,6,381.6,0.16,27
22,7,390.2,0.18,23
22,8,333.4,0.2,40
22,9,373.4,0.22,36
22,10,280.6,0.24,32
22,11,491.9,0.15,28
22,12,414.1,0.17,24
22,13,377.2,0.19,20
22,14,535.0,0.21,37
22,15,565.2,0.23,33
22,16,599.9,0.25,29
22,17,137.8,0.16,25
22,18,232.4,0.18,21
22,19,309.4,0.2,38
22,20,205.7,0.22,34
22,21,84.4,0.24,30
22,22,0.0,0.15,26
22,23,312.1,0.17,22
22,24,230.3,0.19,39
22,25,456.6,0.21,35
23,1,96.5,0.24,36
23,2,134.1,0.15,32
23,3,143.9,0.17,28
23,4,80.0,0.19,24
23,5,75.4,0.21,20
23,6,83.0,0.23,37
23,7,85.1,0.25,33
23,8,109.4,0.16,29
23,9,84.0,0.18,25
23,10,128.3,0.2,21
23,11,285.2,0.22,38
23,12,379.8,0.24,34
23,13,201.2,0.15,30
23,14,366.4,0.17,26
23,15,451.0,0.19,22
23,16,470.3,0.21,39
23,17,448.5,0.23,35
23,18,165.1,0.25,31
23,19,335.1,0.16,27
23,20,330.6,0.18,23
23,21,233.2,0.2,40
23,22,312.1,0.22,36
23,23,0.0,0.24,32
23,24,82.6,0.15,28
23,25,306.8,0.17,24
24,1,160.7,0.2,25
24,2,206.2,0.22,21
24,3,216.1,0.24,38
24,4,143.1,0.15,34
24,5,138.2,0.17,30
24,6,159.9,0.19,26
24,7,165.3,0.21,22
24,8,146.4,0.23,39
24,9,156.0,0.25,35
24,10,127.9,0.16,31
24,11,331.8,0.18,27
24,12,374.0,0.2,23
24,13,229.1,0.22,40
24,14,403.2,0.24,36
24,15,473.4,0.15,32
24,16,498.2,0.17,28
24,17,366.1,0.19,24
24,18,133.9,0.21,20
24,19,307.9,0.23,37
24,20,277.4,0.25,33
24,21,154.1,0.16,29
24,22,230.3,0.18,25
24,23,82.6,0.2,21
24,24,0.0,0.22,38
24,25,333.9,0.24,34
25,1,223.5,0.16,35
25,2,223.9,0.18,31
25,3,221.3,0.2,27
25,4,234.0,0.22,23
25,5,237.3,0.24,40
25,6,258.4,0.15,36
25,7,272.4,0.17,32
25,8,197.7,0.19,28
25,9,244.7,0.21,24
25,10,207.8,0.23,20
25,11,83.7,0.25,37
25,12,150.8,0.16,33
25,13,106.4,0.18,29
25,14,78.4,0.2,25
25,15,144.4,0.22,21
25,16,164.7,0.24,38
25,17,577.8,0.15,34
25,18,232.5,0.17,30
25,19,211.2,0.19,26
25,20,309.2,0.21,22
25,21,381.1,0.23,39
25,22,456.6,0.25,35
25,23,306.8,0.16,31
25,24,333.9,0.18,27
25,25,0.0,0.2,23
