buyer_id,name,buyer_type,district,verified_flag,payment_reliability_score,avg_payment_days,interested_crop,typical_need_tonnes,min_grade,phone
39,Mauli Mhaske Exports LLP,Exporter,Aurangabad,True,74,13,Sugarcane,23.9,B,
40,Jai Wable Traders,Retailer,Nanded,True,70,19,Potato,1.0,B,
41,Om Thorat Trading Co.,Wholesaler,Pune,True,97,27,Wheat,9.1,B,
42,Balaji Dhage Agro Processing Pvt Ltd,Processor,Akola,True,80,13,Sugarcane,24.2,A,
43,Tuljabhavani Nikam Agro Industries,Institutional Buyer,Nashik,True,88,13,Soybean,18.0,B,
44,Samarth Meshram Exports LLP,Exporter,Kolhapur,True,98,11,Potato,11.2,B,
45,Om Deore Traders,Retailer,Nagpur,True,97,27,Pomegranate,1.3,B,
46,Aditya Deshmukh Trading Co.,Wholesaler,Latur,True,99,15,Soybean,2.7,B,
47,Vighnaharta More Agro Processing Pvt Ltd,Processor,Sangli,True,96,28,Wheat,52.9,B,
48,Sai Dhage Agro Industries,Institutional Buyer,Solapur,True,78,19,Pomegranate,16.2,B,
49,Samarth More Exports LLP,Exporter,Latur,True,83,20,Tomato,41.5,A,
50,Sai Khairnar Traders,Retailer,Nanded,True,76,15,Tomato,0.6,C,
51,Ganesh Deshmukh Trading Co.,Wholesaler,Solapur,True,90,22,Banana,3.9,A,
52,Balaji Tiwari Agro Processing Pvt Ltd,Processor,Sangli,True,73,10,Pomegranate,34.4,B,
53,Jai Chavan Agro Industries,Institutional Buyer,Nanded,True,84,26,Potato,22.3,B,
54,Tuljabhavani Sonawane Exports LLP,Exporter,Ahmednagar,True,85,26,Potato,29.4,B,
55,Sai Wable Traders,Retailer,Ahmednagar,True,82,6,Tomato,0.8,A,
56,Tuljabhavani Wagh Trading Co.,Wholesaler,Latur,True,86,12,Soybean,5.5,B,
57,Om Kshirsagar Agro Processing Pvt Ltd,Processor,Akola,True,68,13,Maize,58.1,A,
58,Aditya Bagul Agro Industries,Institutional Buyer,Satara,True,85,17,Sugarcane,21.2,B,
59,Samarth Pawar Exports LLP,Exporter,Jalna,True,93,22,Potato,45.4,C,
60,Om Bhoir Traders,Retailer,Nagpur,True,99,24,Pomegranate,0.8,B,
61,Tuljabhavani Deshmukh Trading Co.,Wholesaler,Pune,True,91,25,Soybean,3.6,A,
62,Bhagyalakshmi Sable Agro Processing Pvt Ltd,Processor,Nagpur,True,96,22,Banana,49.8,B,
63,Khandoba Ingle Agro Industries,Institutional Buyer,Solapur,True,92,10,Grapes,9.8,B,
64,Mauli Meshram Exports LLP,Exporter,Sangli,True,86,13,Tomato,35.2,A,
65,Ganesh Gholap Traders,Retailer,Solapur,True,88,26,Potato,0.7,B,
66,Tuljabhavani More Trading Co.,Wholesaler,Solapur,True,73,20,Potato,7.3,B,
67,Shree Bagul Agro Processing Pvt Ltd,Processor,Amravati,True,84,14,Cotton,53.5,B,
68,Tuljabhavani Gaikwad Agro Industries,Institutional Buyer,Nashik,True,78,26,Maize,16.3,A,
69,Khandoba Mhaske Exports LLP,Exporter,Jalna,True,96,26,Gram (Chana),29.7,B,
70,Mauli Rathod Traders,Retailer,Aurangabad,True,90,16,Banana,1.2,B,
71,Vighnaharta Rathod Trading Co.,Wholesaler,Pune,True,94,20,Wheat,5.8,B,
72,Shree Sharma Agro Processing Pvt Ltd,Processor,Akola,True,98,30,Tomato,22.8,B,
73,Mauli Gholap Agro Industries,Institutional Buyer,Amravati,True,88,28,Grapes,12.3,B,
74,Vighnaharta Khade Exports LLP,Exporter,Jalgaon,True,90,2,Sugarcane,44.2,B,
75,Balaji Kadam Traders,Retailer,Jalgaon,True,96,17,Grapes,1.6,B,
76,Samarth Tiwari Trading Co.,Wholesaler,Nanded,True,99,26,Banana,6.9,B,
77,Balaji Dhage Agro Processing Pvt Ltd,Processor,Akola,True,91,17,Banana,42.6,B,
78,Aditya Khade Agro Industries,Institutional Buyer,Jalna,True,78,3,Wheat,15.6,B,
79,Om Salunkhe Exports LLP,Exporter,Latur,True,71,17,Onion,45.5,B,
80,Bhagyalakshmi Mhaske Traders,Retailer,Jalgaon,True,78,25,Potato,1.9,A,
81,Tuljabhavani Kale Trading Co.,Wholesaler,Dhule,True,99,27,Soybean,9.6,B,
82,M/s Pawar Agro Processing Pvt Ltd,Processor,Latur,True,83,21,Banana,38.3,B,
83,Shree Dhage Agro Industries,Institutional Buyer,Jalna,True,79,8,Wheat,7.9,A,
84,Sai Bagul Exports LLP,Exporter,Nashik,True,86,6,Gram (Chana),11.4,B,
85,Siddhivinayak Khade Traders,Retailer,Nanded,True,68,29,Pomegranate,1.5,A,
86,Tuljabhavani Kadam Trading Co.,Wholesaler,Sangli,True,93,3,Grapes,11.5,B,
87,M/s Jadhav Agro Processing Pvt Ltd,Processor,Akola,True,73,14,Grapes,13.0,B,
88,Jai Gaikwad Agro Industries,Institutional Buyer,Solapur,True,90,30,Maize,21.0,A,
89,Vighnaharta Kadam Exports LLP,Exporter,Sangli,True,82,7,Pomegranate,28.3,A,
90,Balaji Rathod Traders,Retailer,Satara,True,95,19,Cotton,1.9,A,
91,Shree Gaikwad Trading Co.,Wholesaler,Nagpur,True,94,14,Pomegranate,12.2,B,
92,Siddhivinayak Tiwari Agro Processing Pvt Ltd,Processor,Dhule,True,70,3,Banana,29.0,B,
93,Om Thorat Agro Industries,Institutional Buyer,Jalna,True,79,18,Sugarcane,6.4,B,
94,Ganesh Pawar Exports LLP,Exporter,Nanded,True,86,9,Grapes,13.2,B,
95,Tuljabhavani Chaudhari Traders,Retailer,Dhule,True,92,14,Onion,1.2,B,
96,Jai Chaudhari Trading Co.,Wholesaler,Ahmednagar,True,64,19,Sugarcane,14.6,B,
97,Shree Bhoir Agro Processing Pvt Ltd,Processor,Akola,True,82,17,Pomegranate,13.7,A,
98,Ganesh Tiwari Agro Industries,Institutional Buyer,Sangli,True,86,26,Pomegranate,14.1,B,
99,Om Sharma Exports LLP,Exporter,Latur,True,83,23,Maize,25.1,A,
100,Bhagyalakshmi Bagul Traders,Retailer,Sangli,False,65,4,Grapes,1.7,A,
101,Samarth Chaudhari Trading Co.,Wholesaler,Latur,True,95,23,Soybean,8.3,A,
102,Aditya Gholap Agro Processing Pvt Ltd,Processor,Nanded,True,89,10,Pomegranate,18.6,A,
103,Shree Pawar Agro Industries,Institutional Buyer,Pune,True,99,12,Maize,16.2,B,
104,Siddhivinayak Kale Exports LLP,Exporter,Pune,True,71,26,Soybean,25.1,B,
105,Tuljabhavani Bagul Traders,Retailer,Pune,True,85,1,Maize,1.6,A,
106,Bhagyalakshmi Meshram Trading Co.,Wholesaler,Nanded,True,91,11,Grapes,12.1,B,
107,Mauli Khade Agro Processing Pvt Ltd,Processor,Sangli,True,92,9,Banana,26.3,A,
108,Aditya Thorat Agro Industries,Institutional Buyer,Nanded,True,91,9,Grapes,8.3,B,
109,Aditya Kshirsagar Exports LLP,Exporter,Latur,True,83,16,Onion,43.9,B,
110,Bhagyalakshmi Bhalerao Traders,Retailer,Kolhapur,True,78,28,Tomato,1.9,C,
111,Aditya Tiwari Trading Co.,Wholesaler,Akola,False,81,12,Pomegranate,4.8,B,
112,Ganesh Pawar Agro Processing Pvt Ltd,Processor,Nanded,True,83,15,Banana,14.8,C,
113,Samarth More Agro Industries,Institutional Buyer,Sangli,True,81,15,Tomato,8.7,C,
114,Samarth Deshmukh Exports LLP,Exporter,Aurangabad,True,97,3,Maize,15.2,B,
115,Siddhivinayak Kale Traders,Retailer,Jalgaon,True,95,15,Grapes,1.8,B,
116,Bhagyalakshmi Khade Trading Co.,Wholesaler,Nashik,True,83,22,Onion,7.4,B,
117,Samarth Wankhede Agro Processing Pvt Ltd,Processor,Sangli,True,90,12,Grapes,29.3,C,
118,Tuljabhavani Ingle Agro Industries,Institutional Buyer,Ahmednagar,True,76,26,Maize,6.8,B,
119,Tuljabhavani Tiwari Exports LLP,Exporter,Amravati,True,87,13,Pomegranate,43.2,B,
120,Jai Sharma Traders,Retailer,Jalgaon,True,89,24,Gram (Chana),1.0,A,
121,Shree Gholap Trading Co.,Wholesaler,Ahmednagar,True,95,28,Wheat,13.6,A,
122,Bhagyalakshmi Salunkhe Agro Processing Pvt Ltd,Processor,Pune,True,94,2,Sugarcane,40.5,C,
123,Vighnaharta Rathod Agro Industries,Institutional Buyer,Amravati,True,94,26,Grapes,13.1,B,
124,Samarth Sharma Exports LLP,Exporter,Solapur,True,93,19,Potato,35.3,B,
125,Samarth Bhoir Traders,Retailer,Jalgaon,True,99,3,Sugarcane,1.4,A,
126,Mauli Wagh Trading Co.,Wholesaler,Aurangabad,True,89,22,Pomegranate,8.3,B,
127,Vighnaharta Sonawane Agro Processing Pvt Ltd,Processor,Amravati,True,96,9,Soybean,10.3,C,
128,Bhagyalakshmi Rathod Agro Industries,Institutional Buyer,Amravati,True,65,30,Gram (Chana),13.7,B,
129,Aditya Bhosale Exports LLP,Exporter,Nagpur,False,81,20,Grapes,48.7,A,
130,Samarth Dhage Traders,Retailer,Nagpur,True,76,11,Sugarcane,1.8,C,
131,Shree Kale Trading Co.,Wholesaler,Solapur,True,80,29,Cotton,5.5,C,
132,Vighnaharta Gaikwad Agro Processing Pvt Ltd,Processor,Amravati,True,88,13,Grapes,52.8,B,
133,Ganesh Chaudhari Agro Industries,Institutional Buyer,Jalgaon,True,97,19,Soybean,24.9,B,
134,M/s Wankhede Exports LLP,Exporter,Aurangabad,True,68,12,Potato,38.7,B,
135,Bhagyalakshmi Salunkhe Traders,Retailer,Sangli,False,77,17,Maize,1.8,B,
136,Mauli Dhage Trading Co.,Wholesaler,Nanded,True,89,14,Tomato,8.0,C,
137,Ganesh Bhalerao Agro Processing Pvt Ltd,Processor,Nashik,True,97,14,Maize,43.3,C,
138,Balaji Patil Agro Industries,Institutional Buyer,Sangli,True,94,14,Maize,6.7,B,
139,Tuljabhavani Patil Exports LLP,Exporter,Amravati,True,99,5,Tomato,14.5,B,
140,Aditya Chavan Traders,Retailer,Solapur,True,82,21,Onion,1.9,B,
141,Samarth Deshmukh Trading Co.,Wholesaler,Sangli,True,78,4,Potato,2.8,B,
142,Om Bhoir Agro Processing Pvt Ltd,Processor,Amravati,True,81,12,Tomato,39.9,C,
143,Vighnaharta Sable Agro Industries,Institutional Buyer,Akola,True,86,7,Banana,9.5,B,
144,M/s Aher Exports LLP,Exporter,Nanded,True,89,10,Tomato,20.0,B,
145,Jai Wankhede Traders,Retailer,Nanded,True,76,21,Wheat,1.1,B,
146,Vighnaharta Mhaske Trading Co.,Wholesaler,Nanded,False,83,8,Maize,9.2,B,
147,Sai Ingle Agro Processing Pvt Ltd,Processor,Latur,True,94,12,Maize,16.5,B,
148,Jai Sonawane Agro Industries,Institutional Buyer,Nanded,True,93,30,Wheat,14.8,C,
149,Vighnaharta Tiwari Exports LLP,Exporter,Pune,True,81,30,Cotton,17.0,C,
150,M/s Chavan Traders,Retailer,Nashik,True,80,28,Potato,1.9,A,
151,Jai Shinde Trading Co.,Wholesaler,Latur,True,89,7,Tomato,12.8,B,
152,M/s Gholap Agro Processing Pvt Ltd,Processor,Nanded,True,91,3,Banana,20.3,B,
153,Khandoba Shinde Agro Industries,Institutional Buyer,Sangli,False,99,22,Wheat,10.4,A,
154,Bhagyalakshmi Gholap Exports LLP,Exporter,Nanded,True,94,16,Wheat,25.9,A,
155,Samarth Kadam Traders,Retailer,Dhule,True,91,7,Potato,1.3,B,
156,Jai Deore Trading Co.,Wholesaler,Jalna,True,82,29,Banana,2.8,B,
157,Vighnaharta Khade Agro Processing Pvt Ltd,Processor,Nashik,True,96,15,Soybean,22.2,B,
158,Bhagyalakshmi Sonawane Agro Industries,Institutional Buyer,Akola,True,96,1,Banana,21.7,B,
159,Shree Chaudhari Exports LLP,Exporter,Amravati,False,87,17,Onion,37.9,A,
160,Siddhivinayak Bhalerao Traders,Retailer,Jalgaon,True,90,15,Banana,1.3,A,
161,Om Wable Trading Co.,Wholesaler,Jalgaon,True,99,23,Gram (Chana),11.2,B,
162,Bhagyalakshmi Khade Agro Processing Pvt Ltd,Processor,Satara,True,70,8,Wheat,25.1,B,
163,Shree Khade Agro Industries,Institutional Buyer,Solapur,True,98,19,Soybean,7.8,B,
164,Aditya Mhaske Exports LLP,Exporter,Sangli,True,76,23,Tomato,11.4,B,
165,Aditya Sharma Traders,Retailer,Jalna,True,81,9,Cotton,1.4,C,
166,Sai Chaudhari Trading Co.,Wholesaler,Jalgaon,True,94,14,Onion,7.8,C,
167,Om Sable Agro Processing Pvt Ltd,Processor,Nanded,True,97,7,Wheat,58.4,A,
168,Sai Kadam Agro Industries,Institutional Buyer,Kolhapur,True,75,15,Maize,9.0,B,
169,Siddhivinayak Ingle Exports LLP,Exporter,Latur,True,74,4,Gram (Chana),15.3,B,
170,Samarth Kadam Traders,Retailer,Pune,True,74,13,Soybean,1.5,C,
171,Vighnaharta Jadhav Trading Co.,Wholesaler,Jalna,True,98,22,Tomato,14.1,B,
172,M/s Bhoir Agro Processing Pvt Ltd,Processor,Solapur,True,86,29,Wheat,56.0,B,
173,Bhagyalakshmi Rathod Agro Industries,Institutional Buyer,Ahmednagar,True,63,29,Pomegranate,6.1,B,
174,M/s Kadam Exports LLP,Exporter,Kolhapur,True,70,10,Tomato,17.2,A,
175,Ganesh Patil Traders,Retailer,Aurangabad,True,61,4,Grapes,1.5,B,
176,Bhagyalakshmi Bhoir Trading Co.,Wholesaler,Ahmednagar,True,94,11,Pomegranate,6.7,A,
177,Jai Sharma Agro Processing Pvt Ltd,Processor,Ahmednagar,True,82,3,Grapes,52.5,B,
178,Bhagyalakshmi Gaikwad Agro Industries,Institutional Buyer,Pune,True,68,23,Soybean,19.5,B,
179,Jai More Exports LLP,Exporter,Solapur,True,83,5,Wheat,35.6,B,
180,Bhagyalakshmi Kshirsagar Traders,Retailer,Akola,True,97,11,Wheat,0.7,A,
181,Sai Sable Trading Co.,Wholesaler,Nashik,True,95,6,Onion,9.9,B,
182,Balaji Mhaske Agro Processing Pvt Ltd,Processor,Pune,True,88,27,Soybean,24.1,B,
183,Sai Bhalerao Agro Industries,Institutional Buyer,Amravati,True,88,18,Maize,17.1,C,
184,Tuljabhavani Chaudhari Exports LLP,Exporter,Akola,True,81,5,Gram (Chana),20.6,A,
185,Tuljabhavani Shinde Traders,Retailer,Nagpur,True,86,14,Wheat,1.3,A,
186,Siddhivinayak Patil Trading Co.,Wholesaler,Solapur,True,95,29,Tomato,4.2,B,
187,Jai Meshram Agro Processing Pvt Ltd,Processor,Akola,True,88,11,Gram (Chana),41.3,B,
188,Vighnaharta Ingle Agro Industries,Institutional Buyer,Dhule,True,86,11,Pomegranate,18.3,B,
189,Jai Bagul Exports LLP,Exporter,Jalgaon,True,96,1,Banana,16.3,B,
190,Mauli Wable Traders,Retailer,Sangli,True,95,23,Soybean,1.0,B,
191,Jai Gholap Trading Co.,Wholesaler,Nashik,True,79,16,Cotton,6.0,B,
192,Siddhivinayak Bhosale Agro Processing Pvt Ltd,Processor,Akola,True,91,24,Potato,13.9,B,
193,Vighnaharta Kadam Agro Industries,Institutional Buyer,Nashik,True,84,9,Banana,5.3,B,
194,Bhagyalakshmi Pawar Exports LLP,Exporter,Pune,True,89,17,Gram (Chana),48.7,B,
195,Om Thorat Traders,Retailer,Nagpur,True,90,25,Banana,2.0,B,
196,Bhagyalakshmi Rathod Trading Co.,Wholesaler,Kolhapur,True,90,10,Banana,4.8,A,
197,Khandoba Pawar Agro Processing Pvt Ltd,Processor,Satara,True,92,23,Banana,20.7,B,
198,Siddhivinayak Wable Agro Industries,Institutional Buyer,Amravati,True,85,27,Onion,9.4,C,
199,Om Dhage Exports LLP,Exporter,Nashik,True,65,3,Soybean,12.9,A,
200,Samarth Sharma Traders,Retailer,Sangli,True,81,21,Cotton,1.7,B,
201,Balaji Bhoir Trading Co.,Wholesaler,Dhule,True,91,20,Soybean,9.0,A,
202,Mauli Gaikwad Agro Processing Pvt Ltd,Processor,Pune,True,86,29,Gram (Chana),40.4,B,
203,Mauli Pawar Agro Industries,Institutional Buyer,Latur,True,77,6,Tomato,19.6,C,
204,Khandoba Sharma Exports LLP,Exporter,Aurangabad,True,96,26,Cotton,23.4,B,
205,Shree Kshirsagar Traders,Retailer,Nashik,True,78,30,Soybean,0.8,A,
206,Siddhivinayak Thorat Trading Co.,Wholesaler,Akola,True,91,7,Cotton,12.6,B,
207,Ganesh Nikam Agro Processing Pvt Ltd,Processor,Ahmednagar,True,87,13,Sugarcane,48.9,B,
208,Bhagyalakshmi Dhage Agro Industries,Institutional Buyer,Akola,True,80,2,Gram (Chana),22.2,A,
209,Bhagyalakshmi Jadhav Exports LLP,Exporter,Solapur,True,91,4,Potato,44.9,A,
210,Mauli Kale Traders,Retailer,Sangli,True,74,2,Banana,0.5,C,
211,Om Chavan Trading Co.,Wholesaler,Kolhapur,True,89,28,Sugarcane,14.6,C,
212,Ganesh Khade Agro Processing Pvt Ltd,Processor,Nanded,False,98,16,Cotton,34.9,B,
213,Balaji Deshmukh Agro Industries,Institutional Buyer,Kolhapur,True,85,21,Potato,21.5,B,
214,Mauli Deore Exports LLP,Exporter,Latur,False,91,18,Sugarcane,37.3,B,
215,Shree Mhaske Traders,Retailer,Latur,True,88,25,Maize,1.4,B,
216,Balaji Ingle Trading Co.,Wholesaler,Amravati,True,83,3,Grapes,4.0,B,
217,Jai Sharma Agro Processing Pvt Ltd,Processor,Ahmednagar,True,90,25,Soybean,47.3,C,
218,Vighnaharta Bhoir Agro Industries,Institutional Buyer,Amravati,True,82,27,Sugarcane,15.1,A,
219,Shree Nikam Exports LLP,Exporter,Pune,True,95,9,Maize,19.5,C,
220,Shree Wankhede Traders,Retailer,Sangli,True,97,29,Soybean,1.8,A,
221,Ganesh Gholap Trading Co.,Wholesaler,Kolhapur,True,91,19,Banana,7.2,B,
222,Shree Bhalerao Agro Processing Pvt Ltd,Processor,Pune,True,99,2,Maize,21.6,B,
223,Aditya Khade Agro Industries,Institutional Buyer,Jalna,False,91,27,Grapes,17.0,B,
224,Ganesh Bagul Exports LLP,Exporter,Kolhapur,True,95,12,Grapes,41.8,A,
225,Siddhivinayak Jadhav Traders,Retailer,Ahmednagar,True,85,29,Banana,1.0,A,
226,Sai Bhosale Trading Co.,Wholesaler,Solapur,True,80,21,Potato,5.6,A,
227,Siddhivinayak Tiwari Agro Processing Pvt Ltd,Processor,Sangli,True,73,29,Maize,57.3,B,
228,Tuljabhavani Aher Agro Industries,Institutional Buyer,Kolhapur,True,62,10,Tomato,22.8,B,
229,Balaji Kadam Exports LLP,Exporter,Dhule,True,76,22,Pomegranate,29.5,B,
230,Mauli Dhage Traders,Retailer,Akola,True,95,1,Maize,0.8,B,
231,Ganesh Bhalerao Trading Co.,Wholesaler,Akola,True,95,19,Maize,9.4,B,
232,Tuljabhavani Chaudhari Agro Processing Pvt Ltd,Processor,Dhule,False,69,11,Gram (Chana),31.9,B,
233,Mauli Bhosale Agro Industries,Institutional Buyer,Satara,True,84,17,Gram (Chana),6.0,C,
234,Om Rathod Exports LLP,Exporter,Satara,True,67,9,Banana,45.3,A,
235,Ganesh Deore Traders,Retailer,Satara,True,75,15,Wheat,2.0,B,
236,Bhagyalakshmi Khairnar Trading Co.,Wholesaler,Solapur,True,94,15,Grapes,5.2,B,
237,Ganesh Chavan Agro Processing Pvt Ltd,Processor,Ahmednagar,True,93,13,Wheat,45.1,B,
238,Vighnaharta Wagh Agro Industries,Institutional Buyer,Ahmednagar,True,96,28,Maize,10.3,B,
239,Aditya Pawar Exports LLP,Exporter,Latur,True,93,4,Grapes,26.8,A,
240,M/s Nikam Traders,Retailer,Aurangabad,True,95,21,Pomegranate,0.6,C,
241,Mauli Thorat Trading Co.,Wholesaler,Ahmednagar,True,85,19,Banana,11.5,B,
242,Tuljabhavani Nikam Agro Processing Pvt Ltd,Processor,Pune,True,93,13,Cotton,52.8,B,
243,Balaji Sable Agro Industries,Institutional Buyer,Solapur,True,90,26,Potato,24.2,A,
244,Vighnaharta Meshram Exports LLP,Exporter,Ahmednagar,True,93,4,Potato,46.2,B,
245,Mauli Aher Traders,Retailer,Jalna,True,69,18,Potato,1.0,B,
246,Siddhivinayak Meshram Trading Co.,Wholesaler,Jalna,True,84,3,Onion,9.6,C,
247,Khandoba Chaudhari Agro Processing Pvt Ltd,Processor,Akola,True,79,22,Cotton,47.2,A,
248,Aditya Mhaske Agro Industries,Institutional Buyer,Nashik,True,86,5,Soybean,16.6,B,
249,Mauli Mhaske Exports LLP,Exporter,Sangli,True,91,1,Pomegranate,39.9,B,
250,Bhagyalakshmi Rathod Traders,Retailer,Latur,True,91,30,Banana,1.5,A,
251,Khandoba Shinde Trading Co.,Wholesaler,Kolhapur,True,87,26,Onion,11.0,C,
252,Jai Rathod Agro Processing Pvt Ltd,Processor,Satara,True,89,6,Sugarcane,32.4,B,
253,Jai Kshirsagar Agro Industries,Institutional Buyer,Nanded,True,88,17,Maize,23.2,B,
254,Ganesh Sharma Exports LLP,Exporter,Sangli,True,85,5,Wheat,37.4,B,
255,Shree Nikam Traders,Retailer,Dhule,True,86,29,Soybean,1.1,A,
256,Khandoba Ingle Trading Co.,Wholesaler,Nanded,True,89,23,Gram (Chana),12.4,B,
257,Bhagyalakshmi Khade Agro Processing Pvt Ltd,Processor,Solapur,True,90,10,Wheat,50.1,B,
258,Jai Salunkhe Agro Industries,Institutional Buyer,Nashik,True,80,22,Tomato,13.3,C,
259,Balaji Meshram Exports LLP,Exporter,Nashik,False,72,1,Pomegranate,36.1,A,
260,Ganesh Deshmukh Traders,Retailer,Ahmednagar,True,92,28,Potato,1.7,A,
261,Sai Dhage Trading Co.,Wholesaler,Jalgaon,True,77,25,Wheat,10.7,B,
262,Jai Sharma Agro Processing Pvt Ltd,Processor,Nashik,True,67,1,Tomato,18.0,B,
263,Shree Pawar Agro Industries,Institutional Buyer,Ahmednagar,True,84,18,Cotton,7.6,A,
264,Sai Sable Exports LLP,Exporter,Aurangabad,True,92,25,Banana,42.6,B,
265,M/s Gholap Traders,Retailer,Jalgaon,True,74,27,Gram (Chana),0.7,B,
266,Balaji Kadam Trading Co.,Wholesaler,Jalgaon,True,72,29,Tomato,6.3,A,
267,Mauli Khade Agro Processing Pvt Ltd,Processor,Nagpur,True,92,23,Sugarcane,30.2,A,
268,Om Sable Agro Industries,Institutional Buyer,Aurangabad,True,75,3,Sugarcane,21.7,C,
269,Samarth Chavan Exports LLP,Exporter,Dhule,True,70,15,Potato,19.7,B,
270,Tuljabhavani Dhage Traders,Retailer,Solapur,True,94,1,Cotton,1.8,A,
271,Tuljabhavani Wagh Trading Co.,Wholesaler,Amravati,True,91,24,Tomato,13.9,C,
272,Om Khairnar Agro Processing Pvt Ltd,Processor,Satara,True,91,21,Pomegranate,51.6,B,
273,Aditya Bagul Agro Industries,Institutional Buyer,Kolhapur,True,95,23,Sugarcane,24.6,A,
274,Shree Khairnar Exports LLP,Exporter,Ahmednagar,True,87,17,Tomato,16.5,B,
275,Jai Chaudhari Traders,Retailer,Solapur,True,75,23,Gram (Chana),1.0,B,
276,Aditya Khade Trading Co.,Wholesaler,Dhule,True,82,7,Wheat,4.9,B,
277,Sai Nikam Agro Processing Pvt Ltd,Processor,Latur,True,94,4,Pomegranate,58.8,B,
278,Vighnaharta Bhalerao Agro Industries,Institutional Buyer,Nagpur,True,88,15,Potato,11.3,B,
279,Jai Wagh Exports LLP,Exporter,Satara,True,96,26,Maize,26.4,B,
280,Tuljabhavani Sonawane Traders,Retailer,Nanded,True,83,30,Onion,0.9,A,
281,Om Mhaske Trading Co.,Wholesaler,Nanded,True,77,24,Onion,9.4,A,
282,M/s Kale Agro Processing Pvt Ltd,Processor,Nashik,True,76,9,Pomegranate,56.7,C,
283,Om Sonawane Agro Industries,Institutional Buyer,Latur,True,99,27,Tomato,11.4,A,
284,Sai Patil Exports LLP,Exporter,Satara,True,86,27,Grapes,29.7,B,
